"X62101","X62102","X62103","X62104","X62105","X62106","X62107","X62108","X62109","X62110","X62111","X62112","X62113","X62114"
"62101",0,0,0,0,0,0,0,0,0,1,0,1,0,0
"62102",1,0,0,1,0,0,0,1,1,1,0,1,0,1
"62103",0,0,1,0,0,0,0,0,0,0,0,0,0,1
"62104",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"62105",0,0,0,0,1,0,0,0,0,1,1,0,0,0
"62106",0,0,1,0,0,0,1,0,0,0,0,0,0,1
"62107",0,0,1,0,0,1,0,0,0,0,0,0,0,1
"62108",1,0,0,0,0,0,0,1,0,1,0,0,0,0
"62109",1,1,1,1,1,1,1,0,0,1,1,1,1,1
"62110",0,1,0,0,0,0,0,0,0,1,0,0,0,0
"62111",1,0,1,0,1,0,1,1,0,0,1,0,1,0
"62112",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"62113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62114",0,0,1,1,0,1,1,0,1,0,1,0,0,0
