"X35101","X35102","X35103","X35104","X35105","X35106","X35107","X35108","X35109","X35110","X35111","X35112","X35113","X35114","X35115","X35116","X35117","X35118","X35119"
"35101",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"35102",0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0
"35103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35104",0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1
"35105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35106",0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"35107",0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1
"35108",0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1
"35109",0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
"35110",0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1
"35111",0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0
"35112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35113",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1
"35114",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"35115",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
"35116",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
"35117",1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
"35118",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"35119",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
