"X44201","X44202","X44203","X44204","X44205","X44206","X44207","X44208","X44209","X44211","X44212","X44213","X44214","X44215","X44216","X44217","X44218","X44219","X44220","X44221","X44222"
"44201",0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1
"44202",1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1
"44203",1,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1
"44204",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44205",1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0
"44206",1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1
"44207",0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
"44208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44209",0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
"44211",0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0
"44212",0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"44213",0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1
"44214",1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
"44215",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"44216",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44217",0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
"44218",0,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0
"44219",1,1,0,0,0,0,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0
"44220",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
"44221",1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1
"44222",1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1
