"X21301","X21302","X21303","X21304","X21305","X21306","X21307","X21308","X21309","X21310","X21311","X21312","X21313","X21314","X21315","X21316","X21317","X21319"
"21301",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"21302",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"21303",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"21304",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"21305",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21306",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21307",0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1
"21308",1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0
"21309",0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"21310",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21311",0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0
"21312",1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"21313",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
"21314",0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0
"21315",0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"21316",1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1
"21317",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21319",0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
