"X23201","X23202","X23203","X23204","X23205","X23206","X23207","X23208","X23209","X23210","X23211","X23212","X23213","X23214","X23215","X23216","X23217","X23218"
"23201",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23202",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23203",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23204",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23206",0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0
"23207",1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0
"23208",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"23209",0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0
"23210",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"23211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23212",1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1
"23213",0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0
"23214",0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1
"23215",0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1
"23216",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
"23217",0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0
"23218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
