"X71101","X71202","X71203","X71205","X71208","X71209","X71210","X71211","X71212","X71214","X71216","X71218","X71219","X71220","X71221","X71222"
"71101",0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
"71202",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"71203",0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
"71205",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"71208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71209",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"71210",1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0
"71211",0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0
"71212",0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1
"71214",1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0
"71216",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"71218",0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
"71219",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"71220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71221",0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"71222",0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0
