"_","71101","71202","71203","71205","71208","71209","71210","71211","71212","71214","71216","71218","71219","71220","71221","71222"
"71101","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1"
"71202","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0"
"71203","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"71205","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0"
"71208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71209","1","0","1","0","1","0","1","1","1","1","0","0","0","0","0","0"
"71210","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"71211","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0"
"71212","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"71214","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0"
"71216","1","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0"
"71218","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0"
"71219","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"71220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71221","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"71222","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1","0"
