"X51101","X51102","X51103","X51104","X51106","X51107","X51108","X51109","X51111","X51112","X51113","X51114","X51115","X51116","X51117","X51118","X51120","X51122"
"51101",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"51102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"51103",0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"51104",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"51106",1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0
"51107",1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0
"51108",0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"51109",0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0
"51111",0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0
"51112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51113",0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
"51114",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"51115",0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"51116",0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1
"51117",0,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0
"51118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51120",1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1
"51122",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
