"X34101","X34102","X34103","X34104","X34105","X34106","X34107","X34108","X34109","X34110","X34111","X34112","X34113","X34114","X34115","X34116","X34117"
"34101",0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1
"34102",1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0
"34103",0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1
"34104",1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1
"34105",1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0
"34106",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"34107",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
"34108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34109",1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0
"34110",1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0
"34111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"34112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34113",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"34114",1,1,0,0,1,0,0,0,1,1,0,1,1,0,1,1,0
"34115",1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
"34116",1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0
"34117",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
