"X57101","X57102","X57103","X57104","X57105","X57106","X57107","X57108","X57109","X57110","X57111","X57112","X57113","X57114","X57115","X57116"
"57101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57102",1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0
"57103",0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1
"57104",0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1
"57105",0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
"57106",1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"57107",0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
"57108",1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"57109",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"57110",1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
"57111",0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
"57112",0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"57113",1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,1
"57114",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57115",1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1
"57116",0,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0
