"X16102","X16103","X16105","X16107","X16109","X16111","X16112","X16113","X16115","X16116","X16117","X16118","X16119","X16120"
"16102",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"16103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16105",0,0,1,1,0,1,1,0,1,0,0,1,0,0
"16107",0,0,1,0,0,1,1,0,1,0,0,0,1,1
"16109",0,1,0,0,1,0,0,0,0,0,0,0,0,0
"16111",0,0,1,1,0,0,1,0,1,0,0,0,1,1
"16112",0,0,1,1,0,1,0,0,1,0,0,0,1,1
"16113",1,1,0,1,1,1,1,0,0,1,1,1,1,1
"16115",0,0,0,0,0,1,1,0,0,0,0,1,1,1
"16116",0,0,0,0,0,0,0,0,1,1,0,0,0,0
"16117",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"16118",1,0,1,1,0,0,0,0,1,0,0,0,0,0
"16119",0,0,1,1,0,1,1,0,1,0,0,0,0,1
"16120",0,0,0,0,0,1,1,0,0,0,0,1,1,1
