"_","55101","55102","55104","55105","55106","55108","55109","55110","55111","55112","55113","55114","55115","55116","55118","55119","55120","55121","55122","55123","55125","55126"
"55101","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55102","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1"
"55104","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","1","0","0"
"55105","0","0","1","0","1","0","0","0","1","0","1","0","0","0","1","1","0","1","1","1","0","0"
"55106","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55108","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"55109","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1"
"55110","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"55111","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0"
"55112","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"55113","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","0","0"
"55114","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0"
"55115","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"55116","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0"
"55118","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0"
"55119","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0"
"55120","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0"
"55121","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","1","0","0"
"55122","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"55123","0","0","1","0","1","0","1","0","0","0","1","0","0","0","0","0","0","1","1","1","0","0"
"55125","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55126","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0"
