"X54101","X54102","X54103","X54104","X54105","X54106","X54107","X54108","X54109","X54110","X54111","X54112","X54113","X54114","X54117","X54118"
"54101",0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"54102",1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0
"54103",1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,1
"54104",1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
"54105",1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
"54106",1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
"54107",0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0
"54108",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"54109",1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
"54110",0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1
"54111",1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1
"54112",1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1
"54113",1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1
"54114",1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1
"54117",1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
"54118",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
