"_","71103","71104","71107","71108","71109","71110","71111","71112","71113","71115","71119"
"71103","0","0","0","0","0","0","0","0","0","0","0"
"71104","0","0","0","0","0","0","0","0","0","0","0"
"71107","0","0","0","0","0","0","0","0","0","0","0"
"71108","0","0","0","0","0","0","0","0","0","0","0"
"71109","0","0","0","0","0","0","1","0","0","0","0"
"71110","1","0","0","1","0","1","0","0","1","0","0"
"71111","0","0","0","0","1","0","0","0","1","0","0"
"71112","0","0","0","0","0","0","0","0","0","0","1"
"71113","0","0","0","0","0","0","0","0","0","1","0"
"71115","0","0","0","0","0","0","0","0","0","1","0"
"71119","0","1","0","0","0","0","1","1","0","0","0"
