"_","55201","55203","55205","55207","55208","55209","55210","55211","55214","55215","55216","55217","55219","55220","55221","55222","55223","55224","55225","55227"
"55201","1","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","0","0"
"55203","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55205","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55207","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55208","0","0","0","1","1","0","0","0","0","1","0","0","1","0","0","0","0","1","1","0"
"55209","0","0","1","0","1","1","1","0","0","0","1","0","1","0","0","0","1","1","0","0"
"55210","0","0","1","0","1","0","0","1","0","1","0","0","1","1","0","0","0","1","0","0"
"55211","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0"
"55214","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"55215","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0"
"55216","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","1","0","0","0"
"55217","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","0","0","1"
"55219","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"55220","0","0","1","0","1","1","1","1","0","1","0","0","1","1","0","0","0","1","0","0"
"55221","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"55222","0","1","0","0","0","1","0","1","1","0","0","1","0","1","0","1","1","1","0","0"
"55223","0","0","0","0","0","1","0","0","0","0","1","0","0","1","1","0","0","0","0","0"
"55224","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0"
"55225","0","0","0","1","1","0","0","0","0","1","0","0","1","0","0","0","1","1","0","0"
"55227","0","0","0","0","0","1","0","0","0","0","1","1","0","0","1","1","1","0","0","0"
