"X21109","X21110","X21111","X21201","X21202","X21203","X21205","X21206","X21208","X21209","X21212","X21214","X21215","X21216","X21217","X21218","X21219","X21220","X21222","X21223","X21224","X21225"
"21109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21110",0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
"21111",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"21201",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21202",0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0
"21203",0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0
"21205",0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1
"21206",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"21208",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0
"21209",0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0
"21212",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"21214",0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"21215",0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"21216",0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0
"21217",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"21218",1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0
"21219",0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0
"21220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"21222",0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"21223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21224",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21225",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
