"X51101","X51102","X51103","X51104","X51105","X51106","X51107","X51108","X51109","X51110","X51111","X51112","X51113","X51114","X51115","X51116","X51117","X51118","X51119","X51120"
"51101",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"51102",0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1
"51103",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"51104",1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"51105",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51106",0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0
"51107",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51108",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51109",1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,1,1,0
"51110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"51111",0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0
"51112",0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0
"51113",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51114",0,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0
"51115",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0
"51116",0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0
"51117",0,1,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0
"51118",0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0
"51119",0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1
"51120",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
