"X42201","X42202","X42203","X42204","X42205","X42206","X42207","X42208","X42209","X42210","X42211","X42212","X42213","X42214","X42215","X42216","X42217","X42218","X42220"
"42201",0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,1,1
"42202",1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0
"42203",0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"42204",1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1
"42205",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1
"42206",0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"42207",0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0
"42208",0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0
"42209",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
"42210",0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1
"42211",0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0
"42212",0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0
"42213",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"42214",0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0
"42215",0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0
"42216",0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
"42217",0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0
"42218",1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1
"42220",0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
