"_","66101","66102","66103","66105","66106","66108","66110","66113","66114","66119","66120"
"66101","1","1","1","1","1","1","1","1","1","0","0"
"66102","1","0","1","0","0","1","0","0","0","0","0"
"66103","0","1","0","1","0","0","0","0","1","0","0"
"66105","1","1","1","1","1","0","0","1","1","0","0"
"66106","0","0","0","0","0","0","0","0","0","0","0"
"66108","0","1","1","0","0","1","1","0","1","1","0"
"66110","0","0","0","0","0","1","1","0","0","1","0"
"66113","0","0","0","0","0","0","0","0","0","0","0"
"66114","0","0","0","1","0","0","0","0","0","0","0"
"66119","0","0","0","0","0","1","1","0","0","0","1"
"66120","0","1","0","0","0","1","1","0","0","1","0"
