"X12201","X12202","X12203","X12204","X12206","X12207","X12210","X12211","X12212","X12214","X12215","X12216","X12218","X12219","X12220","X12221","X12222","X12223","X12227","X12228","X12229","X12230"
"12201",1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"12202",0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"12203",0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0
"12204",1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,1
"12206",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
"12207",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12210",1,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
"12211",0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1
"12212",1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
"12214",0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1
"12215",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"12216",1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"12218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12219",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0
"12220",0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"12221",0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0
"12222",0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0
"12223",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12227",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"12228",1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0
"12229",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"12230",0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
