"_","35202","35203","35204","35205","35206","35207","35208","35210","35211","35212","35214","35215","35216","35217","35218","35219","35220"
"35202","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0"
"35203","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"35204","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","1","0"
"35205","0","0","0","1","1","0","1","0","0","1","0","1","1","1","1","0","0"
"35206","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"35207","1","1","0","0","1","0","1","1","1","0","0","0","0","0","0","0","1"
"35208","1","1","0","1","1","0","1","0","0","0","0","0","1","0","0","0","1"
"35210","0","1","0","0","0","1","0","0","1","1","0","0","0","0","0","0","1"
"35211","0","1","0","0","0","1","1","1","0","1","0","0","0","1","0","0","1"
"35212","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"35214","0","0","1","1","0","0","0","0","0","1","0","1","1","1","1","0","0"
"35215","0","1","1","1","1","1","0","1","0","0","1","1","1","1","1","1","1"
"35216","0","0","1","1","1","0","0","0","0","0","0","1","1","1","0","1","0"
"35217","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"35218","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0"
"35219","0","0","1","0","1","1","0","0","0","1","1","0","1","1","0","0","0"
"35220","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
