"X71102","X71103","X71104","X71105","X71107","X71108","X71109","X71110","X71111","X71112","X71113","X71114","X71115","X71116","X71117"
"71102",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"71103",1,1,0,0,0,0,0,0,0,0,1,0,1,0,0
"71104",0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
"71105",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"71107",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"71108",1,1,0,1,1,0,1,0,0,0,1,0,1,0,0
"71109",0,1,0,1,1,1,0,0,1,0,1,0,1,0,0
"71110",1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
"71111",0,0,1,0,0,0,0,0,1,1,1,1,1,0,0
"71112",0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
"71113",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"71114",0,0,1,0,0,0,0,0,1,1,1,0,1,0,0
"71115",1,1,0,0,0,1,0,1,0,0,1,0,0,0,0
"71116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71117",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
