"X43202","X43203","X43204","X43205","X43207","X43208","X43209","X43210","X43211","X43212","X43213","X43214","X43215","X43217","X43218","X43221","X43224","X43225","X43226","X43228","X43229","X43230"
"43202",0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"43203",0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"43204",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43205",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"43207",0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"43208",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43209",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43210",0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0
"43211",0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"43212",1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"43213",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"43214",0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0
"43215",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43217",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43218",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"43221",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"43224",0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
"43225",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"43226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
"43228",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"43229",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43230",1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
