"X12101","X12102","X12104","X12105","X12106","X12108","X12109","X12110","X12111","X12112","X12113","X12114","X12115","X12117","X12118","X12119","X12120"
"12101",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"12102",0,1,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1
"12104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12105",0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0
"12106",0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,1
"12108",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"12109",0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1
"12110",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12111",1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0
"12112",0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1
"12113",0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0
"12114",1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
"12115",0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1
"12117",1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0
"12118",0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,0,1
"12119",1,1,0,1,0,1,0,1,0,0,0,1,0,1,1,1,1
"12120",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
