"X21105","X21114","X21401","X21402","X21403","X21405","X21406","X21407","X21409","X21410","X21411","X21412","X21414","X21415","X21416","X21417","X21418","X21419","X21420"
"21105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21114",1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0
"21401",0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
"21402",1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"21403",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
"21405",0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
"21406",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"21407",0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0
"21409",0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
"21410",0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0
"21411",0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0
"21412",0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
"21414",0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0
"21415",0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1
"21416",0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1
"21417",0,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,1
"21418",0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0
"21419",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21420",0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1
