"X46102","X46106","X46107","X46108","X46109","X46110","X46111","X46112","X46113","X46114","X46115","X46116","X46117","X46118","X46119"
"46102",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"46106",0,0,1,1,0,0,1,1,1,1,0,0,0,0,0
"46107",0,0,0,0,1,1,0,1,1,0,1,1,0,0,0
"46108",1,1,1,0,1,0,1,1,1,0,1,0,1,0,0
"46109",1,0,0,1,1,1,0,0,1,1,1,1,0,0,0
"46110",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"46111",0,1,0,1,0,1,1,1,1,1,1,1,1,0,0
"46112",0,1,0,1,0,0,1,1,1,1,1,1,1,0,0
"46113",0,1,1,1,1,1,1,1,0,1,1,1,1,1,0
"46114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46115",0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"46116",1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
"46117",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"46118",0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
"46119",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
