"X23115","X23201","X23203","X23204","X23205","X23206","X23207","X23209","X23210","X23211","X23212","X23213","X23214","X23215","X23216","X23217","X23219","X23220"
"23115",0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1
"23201",0,1,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0
"23203",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"23204",1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"23205",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"23206",1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0
"23207",0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0
"23209",0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0
"23210",1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"23211",0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"23212",0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"23213",0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0
"23214",0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0
"23215",1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0
"23216",0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
"23217",0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0
"23219",0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0
"23220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
