"_","67101","67102","67103","67105","67106","67107","67108","67109","67110","67111","67112","67113","67114","67115","67116","67117","67118","67119","67120"
"67101","0","1","1","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0"
"67102","0","0","0","0","0","1","1","0","1","0","0","1","0","0","0","1","0","0","0"
"67103","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"67105","1","1","1","1","1","0","0","0","1","0","0","1","0","0","0","1","1","0","0"
"67106","1","1","1","1","1","1","0","0","1","1","0","1","0","0","0","1","0","0","0"
"67107","1","1","1","1","1","0","0","1","1","1","0","1","0","0","1","1","1","0","0"
"67108","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"67109","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"67110","1","1","1","1","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0"
"67111","1","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0"
"67112","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1"
"67113","1","1","1","1","1","0","0","0","1","1","0","1","0","0","0","1","0","0","0"
"67114","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"67115","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"67116","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0"
"67117","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"67118","1","1","0","1","1","1","1","1","1","1","0","1","0","1","1","1","1","0","0"
"67119","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"67120","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0"
