"X21401","X21402","X21403","X21405","X21406","X21407","X21409","X21410","X21411","X21412","X21414","X21415","X21416","X21417","X21418","X21419","X21420"
"21401",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"21402",1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1
"21403",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21405",1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1
"21406",1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,1
"21407",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"21409",1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1
"21410",1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,1
"21411",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"21412",1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
"21414",0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0
"21415",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21416",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"21417",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"21418",1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1
"21419",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21420",1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1
