"_","61103","61105","61107","61110","61111","61112","61113","61114","61115","61116","61117","61201","61205","61207","61208","61209","61210","61211","61212","61213","61214"
"61103","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0"
"61105","0","1","1","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","0","1","1"
"61107","0","1","1","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0"
"61110","1","0","0","1","1","0","0","0","0","1","1","1","0","1","0","0","1","0","1","1","1"
"61111","0","0","1","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0"
"61112","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0"
"61113","0","0","0","0","0","0","1","0","0","0","0","0","1","1","1","0","1","0","0","0","1"
"61114","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"61115","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"61116","1","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","1","0"
"61117","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0"
"61201","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"61205","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"61207","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","0","1","1","1"
"61208","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1"
"61209","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0"
"61210","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0"
"61211","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"61212","1","0","0","0","0","1","0","0","0","1","1","1","0","1","0","0","1","1","0","0","0"
"61213","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"61214","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","1"
