"_","31101","31102","31103","31104","31105","31106","31107","31108","31109","31110","31111","31112","31113","31114","31115","31116","31117"
"31101","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0"
"31102","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0"
"31103","0","0","0","1","0","0","0","0","0","1","0","1","1","0","0","0","0"
"31104","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31105","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31106","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"31107","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31108","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0"
"31109","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"31110","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31111","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"31112","0","0","1","1","0","0","1","1","0","1","1","0","1","0","1","1","0"
"31113","0","0","1","1","0","0","0","0","0","0","1","1","1","0","0","1","0"
"31114","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"31115","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"31116","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31117","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
