"X14101","X14104","X14105","X14106","X14107","X14109","X14111","X14112","X14113","X14114","X14115","X14116","X14117","X14121"
"14101",1,0,1,0,0,0,1,1,0,0,0,0,0,0
"14104",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"14105",1,1,1,0,0,0,0,0,0,0,0,0,0,0
"14106",1,1,0,0,1,1,1,1,1,1,1,1,1,0
"14107",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"14109",0,0,0,1,1,0,1,0,1,1,0,0,0,0
"14111",1,1,1,1,1,0,1,1,0,0,1,1,0,0
"14112",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"14113",0,0,1,0,0,0,0,0,0,1,0,1,1,0
"14114",0,1,1,1,1,1,1,0,0,0,0,0,1,0
"14115",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14116",0,0,1,0,0,0,1,0,1,0,0,1,0,0
"14117",0,0,0,1,0,0,0,0,1,0,0,0,1,0
"14121",0,0,0,0,0,0,0,0,0,0,0,0,0,0
