"_","57101","57103","57104","57105","57106","57107","57108","57109","57110","57111","57113","57114","57115","57116","57117","58108"
"57101","1","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1"
"57103","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0"
"57104","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"57105","0","1","0","1","0","0","0","1","1","0","0","0","0","0","0","0"
"57106","0","0","1","1","0","1","1","0","0","0","0","0","1","1","0","0"
"57107","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0"
"57108","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"57109","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0"
"57110","0","1","0","1","0","0","0","1","1","0","0","0","1","0","0","0"
"57111","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"57113","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0"
"57114","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"57115","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"57116","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0"
"57117","0","1","0","1","0","0","0","1","1","0","1","1","0","0","1","0"
"58108","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
