"X55201","X55203","X55205","X55207","X55208","X55209","X55210","X55211","X55214","X55215","X55216","X55217","X55219","X55220","X55221","X55222","X55223","X55224","X55225","X55226"
"55201",0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1
"55203",0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1
"55205",0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1
"55207",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55208",0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0
"55209",0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0
"55210",0,1,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1
"55211",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"55214",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"55215",0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
"55216",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
"55217",1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1
"55219",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"55220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55221",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"55222",0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
"55223",0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0
"55224",0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"55225",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
