"_","41201","41202","41203","41204","41205","41206","41207","41208","41209","41210","41211","41212","41213","41214","41216","41217","41218","41219","41220","41221","41222","41223","41224","41226","41229","41230"
"41201","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"41202","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","1","0","1","0","0","0","1","1","0","0","0"
"41203","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","1"
"41204","1","0","0","0","1","1","1","1","1","1","1","0","1","0","1","1","1","1","0","0","0","0","0","0","0","0"
"41205","1","0","0","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","0","1","1"
"41206","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"41207","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","1","1","1","0","0","0"
"41208","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","1","0","1","1","0","0","1"
"41209","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","0","1","1","1","1","1","1"
"41210","1","0","0","1","1","1","1","0","1","0","1","0","1","0","1","1","0","0","0","0","0","1","1","0","0","1"
"41211","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"41212","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0"
"41213","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"41214","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"41216","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1"
"41217","1","0","0","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","0","0","1","1","1","0","0","1"
"41218","1","0","1","1","1","1","1","1","1","1","1","0","1","1","1","0","0","1","0","0","0","1","1","0","1","1"
"41219","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0"
"41220","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"41221","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0"
"41222","1","0","0","1","1","1","1","0","1","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0"
"41223","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","1","0","0","1","0","0","1"
"41224","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0"
"41226","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"41229","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"41230","0","0","1","0","0","0","0","1","0","0","0","0","0","1","1","1","1","1","1","1","0","1","1","0","1","0"
