"X21201","X21202","X21203","X21205","X21206","X21208","X21209","X21210","X21211","X21212","X21214","X21215","X21216","X21217","X21218","X21219","X21220","X21221"
"21201",1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"21202",0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"21203",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"21205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21206",1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
"21208",1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0
"21209",0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1
"21210",0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
"21211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21212",1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0
"21214",1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0
"21215",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"21216",0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1
"21217",1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1
"21218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21219",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
"21220",0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
"21221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
