"X42102","X42103","X42104","X42105","X42106","X42107","X42109","X42110","X42111","X42112","X42113","X42114","X42115","X42116","X42117","X42118","X42119","X42120","X42121"
"42102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42103",0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0
"42104",0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0
"42105",0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0
"42106",0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
"42107",0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0
"42109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42110",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"42111",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
"42112",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"42113",0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0
"42114",0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
"42115",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
"42116",0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0
"42117",0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0
"42118",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
"42119",0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0
"42120",0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0
"42121",1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1
