"X42103","X42104","X42105","X42106","X42107","X42110","X42111","X42112","X42113","X42114","X42115","X42116","X42117","X42118","X42119","X42120","X42121","X42122","X42123"
"42103",0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"42104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42105",0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0
"42106",0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
"42107",1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0
"42110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42112",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"42113",0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"42114",0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"42115",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"42116",0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0
"42117",0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0
"42118",0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0
"42119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42120",0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"42121",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"42122",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"42123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
