"X31101","X31102","X31103","X31104","X31105","X31106","X31107","X31108","X31109","X31110","X31111","X31112","X31113","X31114","X31115","X31116","X31117"
"31101",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"31102",0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0
"31103",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"31104",0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"31105",0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0
"31106",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"31107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"31108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31109",0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
"31110",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31111",0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
"31112",0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0
"31113",0,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0
"31114",0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0
"31115",0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
"31116",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
"31117",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
