"X35101","X35102","X35103","X35104","X35105","X35106","X35107","X35108","X35109","X35110","X35111","X35112","X35113","X35114","X35115","X35116","X35117","X35118"
"35101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35102",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"35103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35104",1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0
"35105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35106",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"35107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35108",0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
"35109",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35110",0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
"35111",0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0
"35112",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"35113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35114",1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1
"35115",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"35116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35117",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"35118",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
