"_","54101","54105","54106","54107","54108","54109","54110","54111","54112","54113","54114","54117","54118","54119","54120"
"54101","1","0","0","0","1","1","0","0","1","0","0","1","1","1","0"
"54105","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1"
"54106","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0"
"54107","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0"
"54108","1","0","1","1","1","1","1","0","1","1","1","1","1","1","1"
"54109","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"54110","0","0","1","0","1","0","0","1","0","1","1","1","0","0","0"
"54111","1","1","0","0","1","0","1","1","0","1","0","1","1","1","1"
"54112","1","1","0","0","1","0","0","1","0","0","1","1","1","0","1"
"54113","0","0","0","0","1","0","1","0","0","0","1","1","1","1","0"
"54114","0","0","1","0","0","0","1","0","0","1","0","1","0","1","0"
"54117","1","0","1","0","1","1","0","0","1","0","0","1","1","0","0"
"54118","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"54119","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"54120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
