"_","42201","42203","42205","42206","42207","42208","42209","42210","42211","42212","42213","42214","42215","42216","42217","42218","42220","42222","42223"
"42201","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"42203","0","1","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1"
"42205","0","0","0","1","0","0","1","0","1","0","0","0","0","1","0","1","0","0","0"
"42206","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42207","1","0","0","0","1","0","0","0","0","1","1","0","1","1","1","0","0","1","0"
"42208","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42209","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0"
"42210","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0"
"42211","0","1","1","1","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0"
"42212","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0"
"42213","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0"
"42214","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","1","0"
"42215","0","0","0","0","1","0","0","0","0","0","1","0","1","1","1","0","0","0","0"
"42216","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0"
"42217","0","0","0","0","1","0","0","1","0","1","0","0","1","0","0","0","1","1","0"
"42218","1","0","0","0","0","0","1","0","0","0","0","1","1","1","0","1","0","0","0"
"42220","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"42222","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42223","0","1","1","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1"
