"_","44202","44203","44204","44205","44206","44208","44209","44216","44217","44218","44220","44222","44224","44225","44226","44227","44301","44302","44303","44304","44310","44314","44317"
"44202","0","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","1","0","1","0","0","0","1"
"44203","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"44204","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"44205","0","1","1","1","1","0","1","0","0","0","1","1","0","1","1","1","0","1","0","1","0","1","1"
"44206","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","1","0","1","0","0","0"
"44208","1","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","1","0","1","0","0","0","0"
"44209","0","1","1","1","1","0","0","0","0","0","1","1","1","1","0","1","0","1","0","0","0","0","0"
"44216","1","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","1","0","0","0","0"
"44217","1","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","1","0","1","0","0","0","0"
"44218","1","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"44220","0","1","1","1","1","0","1","0","0","0","1","1","1","1","1","1","0","1","0","1","0","1","0"
"44222","0","1","1","1","1","0","1","0","0","0","1","1","1","1","1","0","0","1","0","1","1","1","1"
"44224","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"44225","0","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0"
"44226","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0"
"44227","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"44301","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"44302","0","1","1","1","1","1","1","0","0","0","1","1","0","1","0","0","0","1","0","1","0","0","0"
"44303","1","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0"
"44304","0","0","0","1","1","0","0","0","0","0","0","1","0","0","1","1","0","1","0","1","0","0","0"
"44310","1","0","0","0","0","1","0","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0"
"44314","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"44317","0","1","1","1","1","0","1","0","0","0","1","1","1","1","1","1","0","1","0","1","0","1","1"
