"X61101","X61102","X61103","X61104","X61105","X61106","X61107","X61108","X61109","X61110","X61111","X61112","X61113","X61114"
"61101",0,0,1,1,0,0,0,0,0,0,0,1,0,0
"61102",1,0,1,1,1,1,0,0,1,0,0,1,0,0
"61103",1,0,0,1,0,0,0,0,0,0,0,1,0,0
"61104",1,0,1,1,0,0,1,0,1,0,0,1,0,0
"61105",0,0,0,0,0,0,1,0,0,0,1,0,1,0
"61106",1,1,0,0,1,1,1,1,1,1,1,1,1,0
"61107",0,0,0,0,1,1,1,0,0,0,0,0,0,0
"61108",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"61109",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61110",1,1,1,1,0,1,0,1,1,0,0,1,0,0
"61111",0,0,0,0,1,1,1,0,1,1,1,1,1,0
"61112",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61113",0,0,0,0,1,0,1,0,0,0,1,0,0,0
"61114",0,0,0,0,0,0,0,0,0,0,0,0,0,0
