"X14101","X14102","X14103","X14104","X14105","X14106","X14107","X14108","X14109","X14110","X14111","X14112","X14113","X14114","X14115","X14116","X14117","X14118","X14119","X14120","X14121"
"14101",0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
"14102",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"14103",0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0
"14104",0,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0
"14105",0,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0
"14106",0,0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0
"14107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14108",0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0
"14109",0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
"14110",0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0
"14111",0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0
"14112",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0
"14113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"14114",0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0
"14115",0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0
"14116",0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,1,1,1,0
"14117",0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0
"14118",0,0,0,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0
"14119",0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0
"14120",0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0
"14121",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
