"_","16102","16105","16109","16111","16112","16113","16115","16117","16118","16119","16120","16121","16122"
"16102","1","0","0","1","1","0","0","0","1","1","1","0","0"
"16105","0","1","1","0","0","1","0","1","0","1","1","0","0"
"16109","0","0","1","0","0","0","0","1","0","0","0","0","1"
"16111","0","1","0","0","1","0","1","0","0","1","1","0","0"
"16112","1","1","1","1","1","1","1","1","1","1","1","1","1"
"16113","1","0","0","1","1","0","1","1","1","1","1","1","1"
"16115","0","0","0","1","1","0","0","0","1","1","1","0","0"
"16117","0","0","1","0","0","0","0","0","0","0","0","0","1"
"16118","1","0","0","1","1","0","1","0","0","0","0","1","0"
"16119","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16120","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16121","0","0","0","1","1","0","1","0","1","1","1","0","0"
"16122","0","0","1","0","0","0","0","1","0","0","0","0","0"
