"_","14201","14202","14203","14204","14205","14206","14207","14208","14209","14210","14211","14212","14215","14216","14217","14218","14219","14220"
"14201","1","1","1","1","1","0","0","1","1","0","1","1","0","1","1","1","1","0"
"14202","0","0","0","0","1","0","1","0","0","0","1","1","0","0","0","0","0","0"
"14203","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"14204","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14205","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","1"
"14206","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0"
"14207","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0"
"14208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14209","0","0","1","0","1","0","0","0","1","0","0","0","0","1","0","1","1","0"
"14210","1","0","1","0","1","0","0","1","1","1","0","1","1","1","1","0","1","0"
"14211","1","0","1","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0"
"14212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14215","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14216","1","0","1","0","0","1","1","0","1","0","1","0","0","1","0","1","0","1"
"14217","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0"
"14218","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","1","0","0"
"14219","1","0","0","1","1","0","0","1","1","1","1","1","1","0","1","1","1","1"
"14220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
