"X43106","X43117","X43203","X43205","X43207","X43209","X43210","X43211","X43213","X43215","X43218","X43221","X43225","X43228","X43229","X43231"
"43106",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"43117",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43203",0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0
"43205",0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0
"43207",0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0
"43209",0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1
"43210",0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0
"43211",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"43213",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"43215",0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1
"43218",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"43221",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"43225",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"43228",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43229",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"43231",0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
