"X61105","X61107","X61110","X61111","X61112","X61113","X61114","X61115","X61116","X61117","X61119","X61201","X61205","X61207","X61208","X61209","X61210","X61211","X61212","X61213","X61214"
"61105",0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1
"61107",0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
"61110",0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,1
"61111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61112",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
"61113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"61114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61115",1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1
"61116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61117",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0
"61119",0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,0
"61201",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"61205",0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
"61207",1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1
"61208",1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1
"61209",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
"61210",1,1,1,0,0,1,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1
"61211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61212",0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0
"61213",0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
"61214",1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1
