"_","61105","61107","61110","61111","61112","61113","61114","61115","61116","61117","61119","61201","61205","61207","61208","61209","61210","61211","61212","61213","61214"
"61105","0","1","0","0","0","0","0","1","0","0","0","0","1","1","0","0","1","0","0","0","1"
"61107","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"61110","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"61111","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"61112","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"61113","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"61114","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"61115","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"61116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61117","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"61119","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"61201","0","1","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","1","1","0"
"61205","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0"
"61207","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1"
"61208","0","0","0","0","0","1","0","1","0","0","0","0","0","1","1","0","1","0","0","0","1"
"61209","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","1","1","0","0","0"
"61210","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","0","0","0"
"61211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61212","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"61213","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"61214","1","0","0","0","0","1","0","1","0","0","0","0","1","1","0","0","1","0","0","0","0"
