"_","55124","64105","64109","64110","64111","64113","64114","64122","64123","64127","64129","64130","64131","64132","64133","64134"
"55124","1","1","0","0","0","0","1","1","0","0","1","0","0","0","0","0"
"64105","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"64109","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"64110","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"64111","0","0","1","1","1","0","1","1","0","1","1","0","0","1","1","1"
"64113","0","0","0","0","0","0","1","0","0","1","0","1","1","1","1","1"
"64114","0","0","1","1","1","1","1","0","1","0","1","1","0","0","0","1"
"64122","1","1","0","0","0","0","1","1","0","0","0","1","1","0","0","1"
"64123","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0"
"64127","1","0","0","1","1","1","0","1","0","0","0","0","0","1","0","1"
"64129","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"64130","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"64131","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"64132","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0"
"64133","0","0","1","1","1","0","0","0","0","0","0","0","0","0","1","0"
"64134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
