"X35101","X35102","X35103","X35104","X35106","X35107","X35108","X35110","X35111","X35113","X35114","X35115","X35116","X35117","X35118","X35119","X35202"
"35101",1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"35102",0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1
"35103",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"35104",1,1,1,0,1,0,0,0,1,0,1,0,1,1,1,1,0
"35106",0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
"35107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35108",0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0
"35110",0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0
"35111",0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
"35113",0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
"35114",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"35115",1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0
"35116",0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0
"35117",1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"35118",0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
"35119",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35202",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
