"X14101","X14104","X14105","X14107","X14109","X14111","X14112","X14113","X14114","X14115","X14117","X14121","X14122","X14123","X14124"
"14101",1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
"14104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14105",1,1,1,0,1,1,1,0,1,1,0,0,1,1,1
"14107",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"14109",0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
"14111",1,1,1,0,1,1,1,0,0,0,0,0,1,1,1
"14112",1,1,1,0,0,1,1,0,1,0,0,0,1,1,1
"14113",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"14114",0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"14115",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"14117",0,0,0,1,1,0,0,0,1,0,1,0,1,1,1
"14121",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"14122",0,1,1,1,1,1,1,1,1,1,0,0,1,1,1
"14123",0,0,0,1,0,1,0,1,0,1,1,0,1,0,0
"14124",0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
