"X16101","X16102","X16103","X16104","X16105","X16107","X16109","X16110","X16111","X16112","X16113","X16114","X16115","X16116","X16117"
"16101",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16102",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"16103",1,0,1,0,1,0,1,1,1,0,0,0,1,1,0
"16104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16105",1,1,0,0,1,1,0,1,1,1,0,1,1,0,0
"16107",0,0,0,0,1,0,0,0,1,1,1,0,1,0,0
"16109",0,0,1,0,0,0,1,1,0,0,0,0,0,0,1
"16110",0,1,1,0,1,0,0,1,1,0,0,0,0,1,1
"16111",0,0,0,1,0,0,0,1,1,1,0,0,1,0,0
"16112",0,0,0,0,1,1,0,0,1,1,0,1,1,0,0
"16113",1,1,0,1,1,1,1,1,1,1,0,1,1,1,1
"16114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16115",1,0,0,1,1,1,0,0,1,1,0,1,0,0,0
"16116",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16117",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
