"_","16101","16102","16103","16104","16105","16107","16109","16110","16111","16112","16113","16114","16115","16116","16117"
"16101","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16102","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"16103","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0"
"16104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16105","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"16107","1","0","0","0","1","0","0","0","1","1","0","0","1","0","0"
"16109","0","0","1","0","0","0","1","1","0","0","0","0","0","0","1"
"16110","1","1","1","0","1","1","1","1","1","1","0","0","1","1","0"
"16111","1","0","0","0","0","1","0","0","1","1","0","0","0","0","0"
"16112","1","0","0","0","1","0","0","0","1","0","0","1","1","0","0"
"16113","1","1","0","0","1","1","1","1","1","1","0","1","1","1","1"
"16114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16115","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"16116","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16117","0","0","0","0","0","1","1","0","0","0","0","0","1","0","1"
