"X53101","X53104","X53105","X53106","X53107","X53108","X53110","X53111","X53112","X53113","X53114","X53115","X53116","X53117","X53119","X53121","X53122"
"53101",1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1
"53104",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53105",0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
"53106",1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0
"53107",0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0
"53108",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"53110",0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
"53111",1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1
"53112",0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
"53113",0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
"53114",0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0
"53115",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53116",0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0
"53117",0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"53119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53121",1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1
"53122",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
