"_","42201","42202","42203","42204","42205","42206","42207","42208","42209","42210","42211","42212","42213","42214","42215","42216","42217","42218","42220","42221"
"42201","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42202","1","0","1","0","1","1","0","0","1","0","1","1","1","1","1","1","1","1","0","0"
"42203","0","0","1","0","1","1","0","0","0","1","1","0","0","1","0","1","0","1","1","0"
"42204","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42205","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0"
"42206","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"42207",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42208","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","1","0","0","0"
"42209","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0"
"42210","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0"
"42211","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"42212","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0"
"42213","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0"
"42214","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"42215","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"42216","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0"
"42217","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","1"
"42218","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42220","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0"
"42221","0","0","1","0","0","0","1","0","0","1","0","1","1","1","1","1","1","1","0","0"
