"_","15301","15302","15303","15304","15305","15306","15307","15308","15309","15310","15311","15312","15313","15315","15317","15318","15319","15320","15321","15322","15325","15326","15327","15328","15329","15330","15331","15332"
"15301","1","0","0","0","0","1","1","0","0","0","0","1","1","1","1","1","0","0","1","0","0","0","1","0","0","0","0","1"
"15302","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"15303","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15304","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0"
"15305","0","22","0","0","0","0","1","1","0","1","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0"
"15306","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1"
"15307","1","0","0","0","1","0","1","1","0","1","1","0","0","1","1","0","1","0","1","1","1","0","1","0","0","0","0","0"
"15308","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0"
"15309","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15310","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0"
"15311","0","0","1","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"15312","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15313","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","0","1","1","0","0","0","0","1","1","0","0","0"
"15315","0","0","0","0","0","1","1","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","1"
"15317","1","1","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","1","0","1","0","0","1"
"15318","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","1","0","0","0","0","0"
"15319","0","1","0","1","1","0","1","1","0","1","0","0","0","0","1","1","0","0","0","1","1","0","1","0","0","0","0","1"
"15320","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0"
"15321","1","1","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","1"
"15322","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","1","0","1","0"
"15325","0","0","0","0","1","0","1","1","0","1","1","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0"
"15326","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"15327","1","1","0","1","0","1","0","1","0","1","1","0","0","1","1","1","1","0","0","0","1","0","0","0","0","0","0","1"
"15328","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"15329","0","0","0","0","0","1","1","0","0","0","0","0","1","1","1","1","0","0","1","0","0","0","1","0","1","0","0","1"
"15330","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0"
"15331","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","1","0","0","0","0","0"
"15332","1","1","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","1","0","1","0","0","0"
