"X71201","X71202","X71203","X71205","X71208","X71209","X71210","X71211","X71212","X71214","X71216","X71217","X71218","X71219"
"71201",0,1,1,1,1,1,1,1,0,1,1,1,0,1
"71202",0,0,0,0,1,1,1,1,1,1,0,0,1,0
"71203",0,0,1,0,0,0,0,0,0,1,0,0,0,0
"71205",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71208",0,1,0,0,1,1,1,1,1,0,0,1,0,1
"71209",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"71210",0,1,0,0,0,1,0,1,1,0,0,1,0,0
"71211",0,1,0,0,1,0,1,1,1,0,0,1,0,1
"71212",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71214",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71216",0,0,1,0,0,0,0,0,0,1,1,0,1,0
"71217",0,1,0,0,1,0,0,1,0,0,0,0,0,1
"71218",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"71219",0,0,0,0,0,0,0,1,0,0,0,0,0,1
