"X35203","X35204","X35205","X35206","X35207","X35208","X35210","X35211","X35212","X35214","X35215","X35216","X35217","X35218","X35219","X35220"
"35203",1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1
"35204",0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0
"35205",0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0
"35206",1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1
"35207",1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1
"35208",0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
"35210",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35211",1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1
"35212",0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0
"35214",0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0
"35215",0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0
"35216",0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0
"35217",1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0
"35218",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"35219",0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0
"35220",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
