"X51110","X54101","X54102","X54103","X54104","X54105","X54106","X54107","X54108","X54109","X54110","X54111","X54112","X54113","X54114"
"51110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54101",0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"54102",0,0,0,1,0,0,0,1,1,1,0,0,0,0,0
"54103",0,1,0,0,0,0,0,1,1,1,0,1,1,0,0
"54104",0,1,0,0,0,1,1,0,1,0,1,0,1,1,1
"54105",0,1,0,0,0,1,0,0,0,0,0,1,1,1,1
"54106",0,1,0,0,0,0,1,0,1,0,1,0,1,1,1
"54107",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"54108",1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
"54109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54110",0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
"54111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54112",0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
"54113",0,1,0,0,0,0,1,0,0,0,0,0,1,1,1
"54114",0,0,0,0,1,0,1,0,0,0,1,1,1,1,0
