"X16101","X16102","X16103","X16104","X16105","X16106","X16107","X16108","X16109","X16110","X16111","X16112","X16113","X16114","X16115"
"16101",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16102",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"16103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16105",1,0,0,0,1,1,0,1,0,0,1,1,0,0,0
"16106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16107",1,0,0,0,0,1,1,0,0,0,0,1,0,0,1
"16108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16109",0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
"16110",0,1,1,0,0,0,0,0,1,1,1,0,1,0,0
"16111",0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
"16112",0,0,0,0,1,1,0,1,0,0,1,1,0,0,0
"16113",0,1,1,0,1,1,1,1,1,1,1,1,1,0,0
"16114",1,0,0,0,1,1,0,0,0,0,0,1,0,0,1
"16115",1,0,0,0,0,1,1,1,0,1,1,1,1,0,0
